ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto,label
1769354324.161559,CKzSaJ3rDs76Eynj1b,192.168.10.2,37617,8.8.8.8,53,udp,dns,5.005367,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354334.173456,CMOyyY8m9dGiPcpnl,192.168.10.2,38873,8.8.8.8,53,udp,dns,5.006570,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354344.18695,CaO0CD2Ev9B5j24m2b,192.168.10.2,53644,8.8.8.8,53,udp,dns,5.005334,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354354.200449,C7Wdg93TQb386UYiQi,192.168.10.2,47581,8.8.8.8,53,udp,dns,5.005010,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354364.211787,C4Ds0A1JnexPclmEAl,192.168.10.2,33247,8.8.8.8,53,udp,dns,5.005418,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354374.223376,Crz6uAJyF91Vserjg,192.168.10.2,57343,8.8.8.8,53,udp,dns,5.005718,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354384.232458,CjUQx435CcEHoZLQtk,192.168.10.2,52040,8.8.8.8,53,udp,dns,5.005872,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354394.244688,CDF1CB2IagL0QJFI9g,192.168.10.2,35578,8.8.8.8,53,udp,dns,5.005306,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354404.255803,CbkEdn3u3nHDIRdUsb,192.168.10.2,58535,8.8.8.8,53,udp,dns,5.005677,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354414.268955,CMbI0C46zybBo4t1y2,192.168.10.2,56295,8.8.8.8,53,udp,dns,5.010384,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354424.28541,Cf5RcR24q8slFAVHRl,192.168.10.2,51528,8.8.8.8,53,udp,dns,5.005953,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354434.297583,CSb5bz3z7C4HNjxOHa,192.168.10.2,36551,8.8.8.8,53,udp,dns,5.005642,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354444.309785,CyRAKG39gHBlwWIfTc,192.168.10.2,58830,8.8.8.8,53,udp,dns,5.005436,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354454.322181,C5AEcl1T30EskTDXXa,192.168.10.2,55679,8.8.8.8,53,udp,dns,5.005721,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354464.333944,CJAa4j41A0pmGAW8D6,192.168.10.2,37085,8.8.8.8,53,udp,dns,5.006577,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354474.344069,CiUdsq4pV1Tw8hLbU4,192.168.10.2,52466,8.8.8.8,53,udp,dns,5.010283,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354484.359754,Ck7Pme2R7RwlaX05v4,192.168.10.2,45904,8.8.8.8,53,udp,dns,5.005912,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354494.372523,CrYx422G4cTo0HEMh7,192.168.10.2,40010,8.8.8.8,53,udp,dns,5.052901,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354504.432382,Cinben2RCaqu5FRTE9,192.168.10.2,41706,8.8.8.8,53,udp,dns,5.005369,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354514.443753,CWaiQKNhGz8vKzsk8,192.168.10.2,60026,8.8.8.8,53,udp,dns,5.005588,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354524.460401,CtJcSkMtZTKr8B736,192.168.10.2,41660,8.8.8.8,53,udp,dns,5.094300,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354534.560971,CtO2u91Kx7efxw29p1,192.168.10.2,51789,8.8.8.8,53,udp,dns,5.005210,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354544.573362,CMFA2n2ROAdaE56dY6,192.168.10.2,52142,8.8.8.8,53,udp,dns,5.005562,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354554.586028,CnnW7m3908n3Hgsz9f,192.168.10.2,46068,8.8.8.8,53,udp,dns,5.006553,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354564.611286,CmR7OV1LakI3jeP9Q4,192.168.10.2,54188,8.8.8.8,53,udp,dns,4.992075,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354574.609857,CuPWzwrufutUiHiPc,192.168.10.2,33794,8.8.8.8,53,udp,dns,5.005413,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354584.622483,Cmw3LA45kv589IQdFk,192.168.10.2,32857,8.8.8.8,53,udp,dns,5.004947,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354594.634347,Ctonxl1hSRKNUamaRk,192.168.10.2,38798,8.8.8.8,53,udp,dns,5.005493,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354604.64688,COUr694H6Jmlwnaai1,192.168.10.2,33770,8.8.8.8,53,udp,dns,5.005130,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354614.658413,C4EydC3Mh34yzxxo17,192.168.10.2,33771,8.8.8.8,53,udp,dns,5.008122,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
